Date,Surface,Rd,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time
26‑Sep‑2022,Clay,QF,Thiago Seyboth Wild,6-3 6-1,1.39,0.0%,9.7%,71.0%,63.6%,38.9%,Mariano Navone,58.1%,60.5%,4.7%,59.3%,62.5%,6/7,1:19
26‑Sep‑2022,Clay,R16,Carlos Sanchez Jover,4-6 6-3 6-1,1.27,2.5%,5.1%,65.8%,65.4%,44.4%,Mariano Navone,55.6%,53.0%,0.0%,54.9%,50.0%,7/12,1:56
26‑Sep‑2022,Clay,R32,Felipe Meligeni Alves,6-2 6-4,1.48,2.1%,8.3%,64.6%,71.0%,52.9%,Mariano Navone,57.0%,52.5%,0.0%,46.3%,65.4%,5/17,1:31
19‑Sep‑2022,Clay,F,Nicolas Kicker,7-5 6-3,0.76,0.0%,1.8%,68.4%,43.6%,44.4%,Mariano Navone,43.2%,42.6%,1.5%,37.8%,52.2%,4/6,2:03
19‑Sep‑2022,Clay,SF,Facundo Bagnis,6-3 6-3,1.36,3.8%,5.7%,77.4%,63.4%,41.7%,Mariano Navone,57.4%,56.4%,1.8%,44.8%,69.2%,6/10,1:27
19‑Sep‑2022,Clay,QF,Juan Manuel Cerundolo,6-2 7-6(5),1.21,0.0%,1.7%,72.9%,58.1%,37.5%,Mariano Navone,55.6%,57.6%,0.0%,52.1%,64.9%,7/14,1:48
19‑Sep‑2022,Clay,R16,Camilo Ugo Carabelli,6-1 7-6(2),1.41,0.0%,6.2%,70.8%,65.2%,57.9%,Mariano Navone,56.9%,51.9%,0.0%,43.5%,63.6%,5/11,1:58
19‑Sep‑2022,Clay,R32,Gonzalo Villanueva,7-6(5) 6-3,1.16,1.3%,3.9%,64.5%,73.5%,44.4%,Mariano Navone,53.0%,42.7%,2.7%,39.6%,48.1%,3/10,1:47
29‑Aug‑2022,Clay,Q2,Samuel Vincent Ruggeri,4-6 7-5 0-0 RET,1.04,0.0%,1.5%,70.6%,58.3%,65.0%,Mariano Navone,50.0%,41.3%,2.5%,35.3%,51.7%,3/12,2:04
29‑Aug‑2022,Clay,Q1,Matteo Martineau,2-6 7-5 6-4,1.01,2.1%,7.3%,68.8%,57.6%,40.0%,Mariano Navone,50.0%,48.3%,2.5%,45.7%,54.1%,7/14,2:45
22‑Aug‑2022,Clay,QF,Joao Domingues,7-6(3) 6-3,0.8,0.0%,7.5%,61.3%,55.1%,38.7%,Mariano Navone,44.8%,41.0%,0.0%,38.3%,44.4%,3/11,2:20
22‑Aug‑2022,Clay,R16,Henri Squire,7-5 6-1,1.31,0.0%,0.0%,72.9%,68.6%,15.4%,Mariano Navone,57.7%,60.0%,1.3%,48.7%,72.2%,8/16,1:32
22‑Aug‑2022,Clay,R32,Arthur Fils,6-4 6-1,1.45,0.0%,8.0%,64.0%,62.5%,55.6%,Mariano Navone,59.0%,58.2%,0.0%,48.5%,72.7%,6/13,1:18
20‑Jun‑2022,Clay,SF,Malek Jaziri,7-5 6-0,1.54,2.0%,0.0%,75.5%,64.9%,66.7%,Mariano Navone,57.7%,53.4%,2.3%,48.0%,60.5%,6/18,1:34
20‑Jun‑2022,Clay,QF,Juan Pablo Ficovich,3-6 6-0 6-3,1.25,1.1%,1.1%,68.5%,67.2%,50.0%,Mariano Navone,54.9%,47.7%,1.2%,39.7%,64.3%,5/15,2:11
20‑Jun‑2022,Clay,R16,Nick Hardt,6-1 4-6 6-0,1.45,0.0%,1.3%,73.8%,62.7%,47.6%,Mariano Navone,59.4%,60.0%,0.0%,58.1%,62.5%,8/15,1:58
20‑Jun‑2022,Clay,R32,Valerio Aboian,6-4 3-6 6-3,1.06,0.0%,0.0%,61.7%,58.0%,51.6%,Mariano Navone,51.2%,47.1%,1.1%,42.4%,57.1%,6/10,2:11
13‑Jun‑2022,Clay,F,Francisco Comesana,6-0 6-3,0.63,0.0%,4.5%,61.4%,37.0%,29.4%,Mariano Navone,38.1%,41.5%,0.0%,37.5%,53.8%,2/5,1:13
13‑Jun‑2022,Clay,SF,Juan Pablo Ficovich,6-2 3-6 6-4,1.0,1.1%,2.3%,65.9%,60.3%,50.0%,Mariano Navone,49.7%,43.0%,0.0%,37.3%,52.9%,6/13,2:20
13‑Jun‑2022,Clay,QF,Carlos Gomez Herrera,7-6(4) 7-6(1),1.09,1.1%,5.3%,63.8%,61.7%,44.1%,Mariano Navone,52.2%,48.9%,0.0%,50.0%,46.7%,5/13,2:36
13‑Jun‑2022,Clay,R16,Ignacio Monzon,6-2 6-4,1.24,0.0%,7.2%,49.3%,61.8%,62.9%,Mariano Navone,54.9%,46.9%,0.0%,46.3%,47.8%,4/6,1:55
13‑Jun‑2022,Clay,R32,Gonzalo Villanueva,7-5 6-4,1.27,4.5%,9.0%,49.3%,81.8%,50.0%,Mariano Navone,53.8%,43.6%,0.0%,46.0%,39.3%,4/10,1:55
25‑Apr‑2022,Clay,Q1,Juan Ignacio Galarza,6-2 6-0,0.5,2.0%,7.8%,60.8%,41.9%,30.0%,Mariano Navone,34.8%,31.6%,0.0%,24.0%,46.2%,1/1,1:05
21‑Mar‑2022,Clay,Q1,Gilbert Soares Klier Junior,6-1 6-3,0.57,6.3%,4.8%,71.4%,55.6%,27.8%,Mariano Navone,40.0%,29.8%,0.0%,25.0%,40.0%,1/4,1:22
2‑Jan‑2022,Clay,R16,Facundo Diaz Acosta,6-3 6-2,0.66,0.0%,12.8%,55.3%,42.3%,42.9%,Mariano Navone,40.0%,37.9%,1.7%,32.3%,44.4%,2/7,1:32
2‑Jan‑2022,Clay,R32,Mariano Kestelboim,7-5 5-3 RET,1.09,1.5%,10.8%,52.3%,61.8%,38.7%,Mariano Navone,52.2%,53.5%,0.0%,36.8%,72.7%,7/14,1:46
8‑Nov‑2021,Clay,Q1,Roberto Cid,4-6 6-3 7-6(4),0.96,1.8%,6.3%,64.9%,61.1%,46.2%,Mariano Navone,49.3%,42.5%,0.9%,35.6%,51.1%,5/11,2:54
18‑Oct‑2021,Clay,R16,Martin Cuevas,7-6(0) 7-5,0.83,0.0%,3.5%,64.6%,64.4%,32.5%,Mariano Navone,47.4%,39.0%,2.6%,32.4%,45.0%,3/6,2:13
18‑Oct‑2021,Clay,R32,Thiago Seyboth Wild,3-6 6-1 6-2,1.55,3.2%,3.2%,64.5%,70.0%,68.2%,Mariano Navone,56.9%,47.6%,2.4%,39.6%,58.8%,5/7,1:48
28‑Apr‑2025,Clay,R32,Matteo Gigante,4-6 6-1 7-6(4),0.81,9.7%,7.5%,44.1%,70.7%,53.8%,Marin Cilic,45.6%,31.4%,10.8%,25.0%,39.1%,2/6,2:27
23‑Apr‑2025,Clay,R128,Benjamin Bonzi,6-3 6-2,0.69,5.5%,5.5%,41.8%,69.6%,46.9%,Marin Cilic,42.1%,30.3%,9.1%,33.3%,23.8%,0/5,1:33
7‑Apr‑2025,Clay,F,Kamil Majchrzak,6-3 4-6 6-4,0.84,12.2%,1.1%,60.0%,75.9%,47.2%,Marin Cilic,47.2%,30.0%,4.4%,27.1%,35.5%,1/5,2:12
7‑Apr‑2025,Clay,SF,Valentin Royer,3-6 7-5 7-6(7),1.2,9.0%,1.1%,62.9%,83.9%,54.5%,Marin Cilic,50.2%,32.5%,7.9%,29.7%,37.5%,3/5,2:46
7‑Apr‑2025,Clay,QF,Vilius Gaubas,6-7(6) 6-4 7-6(4),1.35,11.1%,0.9%,65.7%,81.7%,56.8%,Marin Cilic,52.9%,36.2%,10.0%,32.9%,41.7%,2/10,3:07
7‑Apr‑2025,Clay,R16,Marco Trungelliti,6-2 4-6 6-1,1.44,10.4%,1.3%,54.5%,73.8%,65.7%,Marin Cilic,55.8%,43.0%,4.7%,37.0%,50.0%,4/13,2:15
7‑Apr‑2025,Clay,R32,Ignacio Buse,6-3 7-5,1.24,16.4%,10.4%,47.8%,87.5%,42.9%,Marin Cilic,53.9%,44.6%,2.7%,37.5%,57.7%,4/13,1:50
31‑Mar‑2025,Clay,R32,Ignacio Buse,6-2 6-1,0.54,5.1%,2.6%,43.6%,58.8%,45.5%,Marin Cilic,37.6%,26.1%,4.3%,27.8%,20.0%,0/1,1:16
24‑Mar‑2025,Clay,F,Elmer Moller,6-3 6-4,1.17,10.5%,6.6%,53.9%,73.2%,57.1%,Marin Cilic,53.4%,40.0%,4.3%,37.3%,47.4%,2/4,1:43
24‑Mar‑2025,Clay,SF,Jesper De Jong,6-4 6-4,0.89,4.8%,1.2%,59.5%,70.0%,52.9%,Marin Cilic,51.5%,32.7%,11.5%,21.6%,60.0%,2/2,1:46
24‑Mar‑2025,Clay,QF,Pablo Carreno Busta,6-2 6-4,1.23,6.0%,4.8%,47.0%,71.8%,52.3%,Marin Cilic,55.6%,47.5%,1.7%,44.8%,50.0%,4/6,1:47
24‑Mar‑2025,Clay,R16,Marton Fucsovics,6-7(5) 7-6(4) 6-2,1.15,5.3%,1.8%,61.4%,65.7%,59.1%,Marin Cilic,53.2%,42.5%,0.9%,37.7%,51.4%,5/10,2:52
24‑Mar‑2025,Clay,R32,Carlos Taberner,6-4 6-3,1.45,9.1%,1.8%,50.9%,67.9%,63.0%,Marin Cilic,57.8%,50.0%,0.0%,52.6%,43.8%,4/7,1:37
17‑Mar‑2025,Clay,R32,Daniel Merida Aguilar,6-2 6-4,0.8,0.0%,2.9%,52.9%,61.1%,34.4%,Marin Cilic,45.0%,41.0%,3.3%,37.0%,53.3%,2/4,1:35
24‑Feb‑2025,Hard,QF,Felix Auger Aliassime,6-4 3-6 6-2,0.93,3.5%,4.7%,64.7%,76.4%,46.7%,Marin Cilic,49.4%,31.6%,16.5%,22.6%,50.0%,1/7,2:16
24‑Feb‑2025,Hard,R16,Alexei Popyrin,5-7 6-3 6-4,0.82,6.1%,1.0%,64.3%,79.4%,45.7%,Marin Cilic,49.4%,26.9%,20.5%,16.4%,52.2%,2/6,2:14
24‑Feb‑2025,Hard,R32,Alex De Minaur,6-2 3-6 6-3,1.18,3.3%,3.3%,60.0%,68.5%,55.6%,Marin Cilic,54.3%,43.2%,2.7%,33.3%,52.6%,4/4,2:17
17‑Feb‑2025,Hard,R32,Carlos Alcaraz,6-4 6-4,0.72,4.0%,6.7%,65.3%,69.4%,34.6%,Marin Cilic,45.5%,30.5%,6.8%,29.7%,31.8%,1/6,1:39
4‑Nov‑2024,Hard,R16,Jiri Lehecka,6-4 7-6(4),0.56,19.5%,2.6%,61.0%,85.1%,40.0%,Marin Cilic,46.0%,18.3%,8.3%,10.8%,30.4%,0/0,1:43
4‑Nov‑2024,Hard,R32,Alexandre Muller,7-6(2) 6-3,1.3,16.9%,3.1%,61.5%,77.5%,56.0%,Marin Cilic,54.1%,40.0%,1.4%,34.0%,52.2%,3/8,1:33
28‑Oct‑2024,Hard,R64,Arthur Fils,7-6(5) 6-4,0.81,10.9%,3.1%,53.1%,64.7%,56.7%,Marin Cilic,46.5%,31.7%,12.7%,8.8%,58.6%,2/4,1:34
21‑Oct‑2024,Hard,R32,Alejandro Tabilo,7-6(4) 7-6(2),0.86,7.4%,2.1%,55.8%,64.2%,57.1%,Marin Cilic,48.6%,33.3%,14.1%,21.2%,57.7%,2/2,2:05
2‑Oct‑2024,Hard,R128,Arthur Cazaux,6-4 6-4,0.86,15.1%,9.4%,50.9%,77.8%,50.0%,Marin Cilic,45.8%,30.8%,9.2%,14.7%,48.4%,1/3,1:36
25‑Sep‑2024,Hard,R32,Kei Nishikori,6-4 3-6 6-3,1.05,11.8%,5.3%,56.6%,81.4%,48.5%,Marin Cilic,50.3%,34.6%,8.6%,24.6%,58.3%,2/4,2:04
18‑Sep‑2024,Hard,F,Zhizhen Zhang,7-6(5) 7-6(5),1.01,21.7%,2.4%,60.2%,84.0%,66.7%,Marin Cilic,50.9%,23.1%,17.9%,18.2%,34.8%,0/2,1:50
18‑Sep‑2024,Hard,SF,Brandon Nakashima,6-4 7-6(6),1.23,11.3%,1.4%,57.7%,82.9%,56.7%,Marin Cilic,53.6%,34.8%,11.6%,27.1%,52.4%,1/1,1:44
18‑Sep‑2024,Hard,QF,Yasutaka Uchiyama,6-2 6-7(4) 7-6(5),1.21,18.6%,4.9%,57.8%,83.1%,58.1%,Marin Cilic,52.7%,33.3%,8.6%,20.6%,52.4%,3/6,2:45
18‑Sep‑2024,Hard,R16,Yoshihito Nishioka,6-4 6-1,1.87,33.3%,4.4%,62.2%,92.9%,47.1%,Marin Cilic,60.4%,45.7%,2.2%,44.8%,47.1%,4/6,1:09
18‑Sep‑2024,Hard,R32,Zachary Svajda,5-7 6-3 6-0,1.24,17.9%,9.0%,51.3%,87.5%,31.6%,Marin Cilic,54.8%,49.4%,1.3%,43.5%,58.1%,7/12,1:59
2‑Sep‑2024,Hard,QF,Adria Soriano Barrera,7-6(4) 7-5,1.01,13.5%,4.1%,51.4%,78.9%,61.1%,Marin Cilic,48.2%,30.0%,14.4%,26.4%,35.1%,0/7,1:55
2‑Sep‑2024,Hard,R16,Kyle Edmund,6-2 7-5,1.33,29.2%,4.6%,64.6%,76.2%,43.5%,Marin Cilic,55.6%,47.1%,7.1%,34.3%,60.0%,5/10,1:30
2‑Sep‑2024,Hard,R32,Ugo Blanchet,6-7(5) 6-2 7-6(4),1.15,15.0%,9.7%,48.7%,76.4%,50.0%,Marin Cilic,52.3%,42.7%,10.5%,38.6%,48.1%,5/15,2:58
12‑Feb‑2024,Clay,R32,Laslo Djere,4-6 6-3 6-0,0.56,3.6%,4.8%,57.1%,62.5%,47.2%,Marin Cilic,42.3%,24.6%,7.7%,23.1%,26.9%,1/5,1:58
3‑Feb‑2024,Hard,RR,Zizou Bergs,6-4 4-6 6-4,0.76,9.1%,6.1%,56.6%,75.0%,48.8%,Marin Cilic,46.8%,27.6%,17.2%,21.1%,40.0%,1/7,2:40
15‑Jan‑2024,Hard,R128,Fabian Marozsan,6-1 2-6 6-2 7-5,0.64,12.8%,4.8%,52.0%,70.8%,41.7%,Marin Cilic,44.4%,27.5%,11.0%,20.3%,40.6%,2/2,2:31
1‑Jan‑2024,Hard,R32,Jan Lennard Struff,3-6 7-6(4) 7-6(7),1.03,15.4%,9.2%,49.2%,76.6%,47.0%,Marin Cilic,50.8%,39.5%,8.9%,29.0%,52.7%,4/10,3:06
24‑Jul‑2023,Clay,R32,Flavio Cobolli,6-4 6-3,0.6,4.2%,4.2%,59.7%,60.5%,44.8%,Marin Cilic,42.5%,27.3%,5.5%,25.8%,29.2%,0/3,1:51
2‑Jan‑2023,Hard,R16,Roberto Carballes Baena,6-3 3-6 6-1,1.4,21.1%,3.9%,71.1%,83.3%,40.9%,Marin Cilic,56.0%,40.5%,4.1%,35.0%,47.1%,3/7,2:02
31‑Oct‑2022,Hard,R64,Lorenzo Musetti,6-4 6-4,0.86,17.3%,3.8%,51.9%,85.2%,52.0%,Marin Cilic,46.8%,26.3%,12.3%,19.0%,46.7%,0/2,1:22
24‑Oct‑2022,Hard,R32,Arthur Rinderknech,6-4 3-6 7-6(5),0.85,11.3%,1.9%,61.3%,81.5%,43.9%,Marin Cilic,49.5%,27.9%,12.8%,25.4%,36.8%,2/2,2:26
3‑Oct‑2022,Hard,R16,Karen Khachanov,2-6 6-3 6-3,1.06,12.8%,6.4%,60.3%,68.1%,48.4%,Marin Cilic,50.0%,42.3%,4.8%,33.3%,57.9%,3/15,2:24
3‑Oct‑2022,Hard,R32,Oscar Otte,5-7 7-6(4) 6-2,1.34,7.8%,0.0%,66.7%,80.0%,56.7%,Marin Cilic,52.1%,37.2%,9.1%,24.0%,58.7%,3/16,2:32
26‑Sep‑2022,Hard,F,Novak Djokovic,6-3 6-4,0.69,22.4%,8.6%,70.7%,70.7%,41.2%,Marin Cilic,44.3%,26.3%,12.3%,11.1%,52.4%,0/1,1:34
26‑Sep‑2022,Hard,SF,Constant Lestienne,7-5 6-3,1.5,23.3%,3.3%,60.0%,86.1%,45.8%,Marin Cilic,56.6%,44.9%,0.0%,32.5%,62.1%,4/7,1:46
26‑Sep‑2022,Hard,R16,Dominic Thiem,6-7(6) 6-2 6-4,1.26,17.0%,3.4%,60.2%,79.2%,57.1%,Marin Cilic,52.6%,37.3%,10.8%,33.3%,45.5%,4/13,2:43
29‑Aug‑2022,Hard,R16,Carlos Alcaraz,6-4 3-6 6-4 4-6 6-3,0.99,9.9%,9.2%,51.4%,74.0%,47.8%,Marin Cilic,49.8%,38.5%,2.1%,37.9%,40.0%,5/9,3:54
29‑Aug‑2022,Hard,R32,Daniel Evans,7-6(11) 6-7(3) 6-2 7-5,1.2,18.7%,6.5%,56.1%,82.1%,54.1%,Marin Cilic,52.8%,36.4%,2.8%,27.4%,49.2%,5/11,3:59
29‑Aug‑2022,Hard,R64,Albert Ramos,6-3 7-6(4) 6-3,1.26,14.0%,6.1%,57.9%,84.8%,43.8%,Marin Cilic,55.6%,40.9%,0.0%,36.7%,48.5%,4/12,2:39
29‑Aug‑2022,Hard,R128,Maximilian Marterer,6-3 6-2 7-5,1.87,18.8%,8.8%,52.5%,90.5%,63.2%,Marin Cilic,58.3%,42.1%,7.4%,36.1%,52.9%,4/13,2:09
15‑Aug‑2022,Hard,R16,Carlos Alcaraz,7-6(4) 6-1,0.58,6.0%,3.0%,71.6%,60.4%,36.8%,Marin Cilic,40.8%,27.0%,12.7%,16.7%,47.6%,1/3,1:39
15‑Aug‑2022,Hard,R32,Emil Ruusuvuori,6-4 6-7(5) 7-5,1.16,10.9%,8.4%,50.4%,78.3%,45.8%,Marin Cilic,53.5%,44.0%,4.6%,36.4%,55.8%,7/10,3:17
15‑Aug‑2022,Hard,R64,Jaume Munar,6-3 6-3,1.4,12.1%,0.0%,75.9%,75.0%,50.0%,Marin Cilic,55.1%,43.5%,4.3%,35.0%,55.2%,3/11,1:31
8‑Aug‑2022,Hard,R16,Tommy Paul,6-4 6-2,0.64,3.4%,3.4%,71.2%,59.5%,29.4%,Marin Cilic,41.8%,31.4%,5.9%,25.8%,40.0%,1/5,1:24
8‑Aug‑2022,Hard,R32,Karen Khachanov,6-3 6-2,1.57,9.1%,1.8%,58.2%,84.4%,52.2%,Marin Cilic,58.0%,45.6%,3.5%,42.1%,52.6%,3/6,1:26
8‑Aug‑2022,Hard,R64,Borna Coric,6-3 6-2,2.01,13.3%,0.0%,75.6%,79.4%,63.6%,Marin Cilic,60.4%,49.2%,8.2%,50.0%,48.3%,4/11,1:22
13‑Jun‑2022,Grass,SF,Filip Krajinovic,6-3 6-3,0.62,25.9%,8.6%,51.7%,76.7%,35.7%,Marin Cilic,42.1%,26.8%,5.4%,25.6%,29.4%,0/6,1:19
13‑Jun‑2022,Grass,QF,Emil Ruusuvuori,7-6(2) 6-4,1.46,16.4%,9.0%,55.2%,81.1%,63.3%,Marin Cilic,55.3%,39.2%,5.4%,34.1%,46.7%,2/6,1:47
13‑Jun‑2022,Grass,R16,Alexander Bublik,7-6(6) 7-5,1.52,14.1%,4.7%,62.5%,87.5%,58.3%,Marin Cilic,54.3%,35.5%,17.1%,22.2%,54.8%,2/2,1:34
13‑Jun‑2022,Grass,R32,Liam Broady,6-1 4-6 7-5,1.32,20.7%,6.9%,58.6%,86.3%,47.2%,Marin Cilic,54.9%,39.5%,2.3%,33.3%,51.7%,4/5,2:07
9‑May‑2022,Clay,R16,Cristian Garin,6-3 4-6 6-4,0.99,3.1%,2.1%,50.5%,63.3%,47.9%,Marin Cilic,49.3%,44.0%,0.9%,41.7%,47.7%,4/20,2:56
9‑May‑2022,Clay,R32,Cameron Norrie,5-7 6-2 6-1,1.54,11.5%,3.8%,61.5%,79.2%,56.7%,Marin Cilic,57.3%,45.3%,1.2%,41.8%,51.6%,5/10,2:05
9‑May‑2022,Clay,R64,Matteo Arnaldi,6-1 6-4,1.95,10.4%,4.2%,58.3%,85.7%,65.0%,Marin Cilic,59.6%,44.6%,3.6%,37.1%,57.1%,3/7,1:20
2‑May‑2022,Clay,R32,Alexander Zverev,4-6 6-4 6-4,0.83,4.5%,2.3%,62.5%,76.4%,42.4%,Marin Cilic,46.9%,30.3%,12.4%,23.2%,55.0%,2/8,2:17
2‑May‑2022,Clay,R64,Albert Ramos,6-3 3-6 6-4,1.08,18.8%,3.1%,60.4%,75.9%,44.7%,Marin Cilic,52.5%,39.5%,2.5%,34.5%,50.0%,4/6,2:14
25‑Apr‑2022,Clay,R16,Sebastian Baez,1-6 6-1 6-4,0.84,11.5%,6.4%,61.5%,72.9%,46.7%,Marin Cilic,48.3%,31.3%,4.5%,33.3%,27.3%,2/2,1:50
11‑Apr‑2022,Clay,R32,Taylor Fritz,6-3 4-6 6-4,0.94,11.6%,10.5%,47.7%,82.9%,40.0%,Marin Cilic,47.4%,37.3%,3.6%,27.9%,49.0%,2/7,2:15
11‑Apr‑2022,Clay,R64,Jo Wilfried Tsonga,6-2 6-2,2.19,7.3%,4.9%,51.2%,85.7%,70.0%,Marin Cilic,61.5%,48.0%,4.0%,40.7%,56.5%,4/7,1:07
21‑Mar‑2022,Hard,R32,Carlos Alcaraz,6-4 6-4,0.67,3.0%,1.5%,68.2%,68.9%,47.6%,Marin Cilic,45.5%,25.5%,3.6%,22.2%,31.6%,0/1,1:35
21‑Mar‑2022,Hard,R64,Alexei Popyrin,6-0 6-3,1.98,14.3%,2.4%,61.9%,84.6%,62.5%,Marin Cilic,62.8%,47.2%,2.8%,37.5%,66.7%,4/5,0:53
7‑Mar‑2022,Hard,R64,Miomir Kecmanovic,6-7(7) 6-3 7-6(6),0.93,11.3%,5.2%,47.8%,78.2%,51.7%,Marin Cilic,47.8%,33.1%,0.0%,28.2%,42.2%,1/13,2:52
21‑Feb‑2022,Hard,R32,Jiri Vesely,6-4 7-6(3),0.74,22.1%,2.6%,58.4%,77.8%,43.8%,Marin Cilic,46.5%,26.9%,10.4%,14.6%,46.2%,1/5,1:53
14‑Feb‑2022,Hard,QF,Karen Khachanov,3-6 6-3 6-4,0.95,18.8%,2.4%,57.6%,75.5%,52.8%,Marin Cilic,49.1%,32.6%,11.6%,29.2%,42.9%,1/3,2:00
14‑Feb‑2022,Hard,R16,Botic Van De Zandschulp,6-3 7-5,1.23,8.2%,0.0%,58.9%,69.8%,60.0%,Marin Cilic,54.2%,42.0%,7.2%,31.3%,66.7%,3/11,1:42
17‑Jan‑2022,Hard,R16,Felix Auger Aliassime,2-6 7-6(7) 6-2 7-6(4),0.75,16.9%,5.6%,54.2%,85.7%,44.6%,Marin Cilic,47.9%,24.8%,18.8%,13.9%,42.2%,2/2,3:35
17‑Jan‑2022,Hard,R32,Andrey Rublev,7-5 7-6(3) 3-6 6-3,1.19,21.2%,2.7%,54.0%,85.2%,55.8%,Marin Cilic,51.7%,33.6%,13.6%,25.9%,50.0%,4/8,2:36
17‑Jan‑2022,Hard,R64,Norbert Gombos,6-2 6-3 3-6 7-6(6),1.55,18.9%,1.9%,55.7%,86.4%,61.7%,Marin Cilic,55.2%,37.9%,4.8%,29.1%,53.3%,4/8,2:40
17‑Jan‑2022,Hard,R128,Emilio Gomez,6-3 6-1 6-2,1.82,24.6%,4.3%,59.4%,85.4%,50.0%,Marin Cilic,61.9%,52.9%,2.9%,52.3%,53.8%,7/11,1:40
10‑Jan‑2022,Hard,SF,Thanasi Kokkinakis,6-2 3-6 7-6(10),0.91,7.1%,3.0%,58.6%,72.4%,53.7%,Marin Cilic,49.0%,32.3%,10.8%,24.6%,50.0%,2/7,2:38
10‑Jan‑2022,Hard,QF,Tommy Paul,6-4 2-6 6-3,1.1,18.2%,1.3%,58.4%,84.4%,46.9%,Marin Cilic,50.9%,34.1%,9.8%,23.1%,53.3%,2/8,1:54
10‑Jan‑2022,Hard,R16,Jaume Munar,7-6(6) 6-2,1.82,17.5%,1.8%,71.9%,87.8%,62.5%,Marin Cilic,55.5%,35.2%,7.0%,21.3%,62.5%,2/7,1:38
3‑Jan‑2022,Hard,SF,Karen Khachanov,7-6(3) 6-3,0.9,11.9%,4.5%,53.7%,77.8%,48.4%,Marin Cilic,46.1%,32.2%,6.9%,25.8%,48.0%,0/4,1:54
3‑Jan‑2022,Hard,QF,Laslo Djere,6-3 6-2,2.74,16.3%,2.3%,67.4%,86.2%,78.6%,Marin Cilic,63.3%,44.7%,10.6%,46.4%,42.1%,3/7,1:07
3‑Jan‑2022,Hard,R16,Thiago Monteiro,6-4 7-6(3),1.39,23.5%,4.4%,70.6%,85.4%,50.0%,Marin Cilic,53.8%,34.7%,9.3%,24.5%,53.8%,1/7,1:56
5‑Dec‑2021,Hard,RR,Daniil Medvedev,7-6(7) 6-2,0.74,13.1%,1.6%,62.3%,81.6%,39.1%,Marin Cilic,45.2%,25.4%,12.7%,12.8%,45.8%,0/1,1:27
3‑Dec‑2021,Hard,RR,Novak Djokovic,6-4 6-2,0.66,9.1%,4.5%,56.1%,62.2%,44.8%,Marin Cilic,42.9%,30.0%,6.7%,25.0%,40.0%,0/8,1:39
29‑Nov‑2021,Hard,RR,Jannik Sinner,3-6 7-6(4) 6-3,0.84,9.1%,1.8%,60.0%,63.6%,43.2%,Marin Cilic,47.3%,37.4%,3.3%,31.6%,47.1%,4/8,2:41
28‑Nov‑2021,Hard,RR,Zsombor Piros,4-6 7-5 6-4,0.99,10.1%,3.0%,54.5%,72.2%,46.7%,Marin Cilic,48.8%,39.0%,8.5%,28.4%,56.8%,4/9,2:39
25‑Nov‑2021,Hard,RR,Alex De Minaur,6-1 5-7 6-4,1.57,13.5%,8.1%,63.5%,76.6%,59.3%,Marin Cilic,56.6%,46.5%,4.0%,35.7%,71.0%,5/11,1:58
1‑Nov‑2021,Hard,R32,Sebastian Korda,6-2 6-4,0.4,9.3%,5.6%,44.4%,75.0%,46.7%,Marin Cilic,40.2%,16.3%,11.6%,11.1%,25.0%,0/0,1:11
1‑Nov‑2021,Hard,R64,Alejandro Davidovich Fokina,6-3 6-4,1.21,12.1%,4.5%,53.0%,82.9%,45.2%,Marin Cilic,54.5%,42.1%,7.0%,37.1%,50.0%,3/5,1:27
25‑Oct‑2021,Hard,F,Taylor Fritz,7-6(3) 4-6 6-4,1.09,12.4%,7.2%,59.8%,77.6%,38.5%,Marin Cilic,51.5%,41.7%,9.7%,35.6%,50.0%,5/7,2:23
25‑Oct‑2021,Hard,SF,Botic Van De Zandschulp,6-3 6-3,2.08,20.0%,0.0%,68.9%,87.1%,64.3%,Marin Cilic,59.2%,41.5%,3.8%,33.3%,64.3%,3/8,1:09
25‑Oct‑2021,Hard,QF,Roberto Bautista Agut,6-4 3-6 6-3,0.98,16.4%,6.0%,50.0%,79.3%,39.7%,Marin Cilic,51.0%,39.8%,2.3%,27.3%,52.3%,4/11,2:33
25‑Oct‑2021,Hard,R16,Karen Khachanov,6-4 6-7(1) 6-4,1.13,16.1%,4.3%,62.4%,77.6%,54.3%,Marin Cilic,51.3%,35.3%,7.8%,23.9%,61.3%,4/9,2:29
25‑Oct‑2021,Hard,R32,Albert Ramos,6-2 6-3,1.5,16.7%,1.7%,46.7%,85.7%,56.3%,Marin Cilic,58.6%,45.1%,2.0%,33.3%,61.9%,3/5,1:23
18‑Oct‑2021,Hard,F,Aslan Karatsev,6-2 6-4,0.48,13.7%,2.0%,54.9%,71.4%,52.2%,Marin Cilic,41.7%,17.8%,4.4%,7.7%,31.6%,0/1,1:16
18‑Oct‑2021,Hard,SF,Ricardas Berankis,6-3 6-4,1.29,15.6%,4.7%,57.8%,83.8%,44.4%,Marin Cilic,54.6%,42.4%,0.0%,31.0%,62.5%,3/8,1:33
18‑Oct‑2021,Hard,QF,Pedro Martinez,6-1 6-2,1.94,33.3%,4.4%,68.9%,83.9%,57.1%,Marin Cilic,62.7%,47.4%,2.6%,48.1%,45.5%,4/5,1:02
